,publish_time,title,channel_name,tags_count,views_count,likes_count,dislikes_count,comments_count,duration_sec,published_date,published_time_UTC,subscribers
30,2021-01-27T01:00:12Z,[playlist] 못 들어봤다면 𝙅𝙊𝙉𝙉𝘼 유감인 EDM모음,#yeLocDirAe 옐럭,8,127870,3795,12,475.0,4118,2021-01-27,01:00:12,83700.0
31,2020-10-28T03:30:00Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요 #3,#yeLocDirAe 옐럭,5,115659,2979,26,192.0,2940,2020-10-28,03:30:00,83700.0
32,2020-11-14T13:30:11Z,[playlist] 구독자분들의 추천 팝송모음 #2｜우럭 양식장 🐟,#yeLocDirAe 옐럭,4,114500,2417,17,279.0,3650,2020-11-14,13:30:11,83700.0
33,2020-10-21T03:45:00Z,[playlist] 모자 푹 눌러쓰고 들으면 쌉간지 나는 외힙모음,#yeLocDirAe 옐럭,5,106985,3364,19,143.0,2796,2020-10-21,03:45:00,83700.0
34,2020-10-24T14:00:12Z,[playlist] 따뜻한 방에서 차가운 공기 맞으며 듣는 새벽 감성 팝송모음,#yeLocDirAe 옐럭,5,103304,3225,17,179.0,3166,2020-10-24,14:00:12,83700.0
35,2020-09-30T12:00:04Z,[playlist] 입술에 필러 맞은 듯 치명적이게 기억 조작되는 퇴폐와 섹시미 팝송모음,#yeLocDirAe 옐럭,8,94936,2873,28,215.0,3207,2020-09-30,12:00:04,83700.0
36,2020-08-12T12:20:35Z,"[playlist] 이어폰 필수, 귀가 간지러울 정도의 귀르가즘 팝송모음",#yeLocDirAe 옐럭,6,85618,1804,21,82.0,2608,2020-08-12,12:20:35,83700.0
37,2020-12-17T04:00:03Z,[playlist] 감성힙합 듣고 싶은 사람 쨔람?｜𝐊𝐡𝐢𝐩𝐡𝐨𝐩🇰🇷,#yeLocDirAe 옐럭,6,84199,1082,11,123.0,3864,2020-12-17,04:00:03,83700.0
38,2020-11-21T13:00:12Z,[playlist] ※주의※ : 주인장이 EDM을 영업 중입니다,#yeLocDirAe 옐럭,6,83384,2346,13,240.0,3698,2020-11-21,13:00:12,83700.0
39,2021-02-16T04:49:25Z,[playlist] 도입부부터 돌아버린 팝송모음,#yeLocDirAe 옐럭,5,83212,1911,15,171.0,3247,2021-02-16,04:49:25,83700.0
40,2020-12-06T03:00:09Z,"[playlist] 장르별 연말파티 노래 모음.zip｜𝐘𝐞𝐚𝐫 𝐄𝐧𝐝 𝐏𝐚𝐫𝐭𝐲🥂｜Pop, Hiphop, EDM, Carol",#yeLocDirAe 옐럭,5,79871,2046,15,171.0,11242,2020-12-06,03:00:09,83700.0
41,2020-07-09T04:13:14Z,[playlist] 마성의 목소리를 가진 치명적인 팝송모음,#yeLocDirAe 옐럭,7,79159,2240,11,127.0,3015,2020-07-09,04:13:14,83700.0
42,2020-12-12T13:30:15Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요 #4,#yeLocDirAe 옐럭,4,78524,1516,13,147.0,4188,2020-12-12,13:30:15,83700.0
43,2020-10-31T02:00:06Z,[playlist] 살짝 졸린데 조금만 눈 좀 붙이자 나른한 낮잠 팝송모음,#yeLocDirAe 옐럭,4,74978,2237,15,178.0,3393,2020-10-31,02:00:06,83700.0
44,2020-08-15T06:30:17Z,[playlist] 사랑한다고 왜 말을 모대..! 달달한 사랑 팝송모음,#yeLocDirAe 옐럭,6,72725,2199,13,73.0,1933,2020-08-15,06:30:17,83700.0
45,2020-07-22T13:28:57Z,『PLAYLIST』 그루비한 국내 감성힙합과 R&B의 만남 (23songs)｜구관이 명관♛ + 최신 곡｜Khiphop Playlist,#yeLocDirAe 옐럭,6,69698,1291,13,52.0,4350,2020-07-22,13:28:57,83700.0
46,2020-08-08T08:00:06Z,[playlist] 후카를 피면서 듣기 좋은 몽환적인 팝송모음,#yeLocDirAe 옐럭,3,69123,2314,17,77.0,2349,2020-08-08,08:00:06,83700.0
47,2020-07-04T09:56:39Z,[playlist] 조금은 잔잔한 외국판 감성외힙 모음,#yeLocDirAe 옐럭,6,68083,1256,22,74.0,2310,2020-07-04,09:56:39,83700.0
48,2020-12-19T13:30:26Z,[playlist] 구독자분들의 추천 팝송모음 #3｜우럭 양식장 🐟,#yeLocDirAe 옐럭,4,67194,1410,8,148.0,3679,2020-12-19,13:30:26,83700.0
49,2020-11-11T07:00:04Z,[playlist] 근본을 지키지만 뻔하지 않은 크리스마스 팝송모음 (광고X),#yeLocDirAe 옐럭,4,66269,2457,10,223.0,3357,2020-11-11,07:00:04,83700.0
50,2020-10-24T03:00:01Z,"[playlist] 당신의 고막, 소중하시나요? 그럼 누르지 마세요 하드 EDM모음",#yeLocDirAe 옐럭,6,63879,1888,19,204.0,6993,2020-10-24,03:00:01,83700.0
51,2020-06-04T15:58:38Z,『PLAYLIST』 토요일 밤에 그루비한 라운지 펍에서 틀어줄듯한 노래 모음｜구관이 명관♛ + 최신 팝｜Lounge House Music,#yeLocDirAe 옐럭,14,63700,747,13,33.0,4402,2020-06-04,15:58:38,83700.0
52,2021-03-02T22:30:01Z,[playlist] 마음만은 창문 살짝 열어놓고 드라이브 중,#yeLocDirAe 옐럭,6,59922,1157,8,163.0,3792,2021-03-02,22:30:01,83700.0
53,2021-02-20T13:30:28Z,[playlist] 여러분이 좋아하실만한 듣기 편한 팝송을 가져왔어요 #5,#yeLocDirAe 옐럭,5,59339,1113,11,146.0,3667,2021-02-20,13:30:28,83700.0
54,2020-09-12T12:00:04Z,[playlist] 벌레가 짖는 새벽에 듣기 좋은 국내 알앤비 모음,#yeLocDirAe 옐럭,8,58148,2024,12,221.0,3684,2020-09-12,12:00:04,83700.0
55,2021-01-16T13:30:09Z,[playlist] 💫✨우주를 떠다니는 몽환적인 𝒫𝑜𝓅𝒮𝑜𝓃𝑔 👩‍🚀🪐,#yeLocDirAe 옐럭,4,53861,1979,11,261.0,4129,2021-01-16,13:30:09,83700.0
56,2021-01-01T13:30:12Z,[playlist] 새해는 꼭 여행 갈 수 있길 빌며 헌정하는 팝송모음,#yeLocDirAe 옐럭,5,48720,1158,7,132.0,3962,2021-01-01,13:30:12,83700.0
57,2020-09-15T22:30:02Z,[playlist] 준비가 안됐는데 가을은 선선한 바람과 함께 찾아왔네요 가을 감성 팝송모음,#yeLocDirAe 옐럭,6,44046,1005,6,158.0,2840,2020-09-15,22:30:02,83700.0
58,2021-01-13T09:05:00Z,"퇴근, 하교하는 우럭쓰들 이거 들으면서 잔잔하게 출발 하시게",#yeLocDirAe 옐럭,4,42034,1064,8,187.0,3607,2021-01-13,09:05:00,83700.0
59,2020-08-07T12:47:04Z,[playlist] 듣자마자 버팔로윙이랑 맥주마시러 펍으로 가는 외힙모음,#yeLocDirAe 옐럭,4,39448,876,14,59.0,2610,2020-08-07,12:47:04,83700.0
60,2020-05-17T05:41:22Z,"[playlist] Don't Start Now 같은 노래 좋아하니?, 뉴트로팝 모음Vol2",#yeLocDirAe 옐럭,5,38897,1229,6,42.0,2368,2020-05-17,05:41:22,83700.0
61,2020-09-09T07:00:12Z,[playlist] 불 꺼놓고 모드기기 와트 최대로 땡겨 베이핑하면서 들을 외힙모음,#yeLocDirAe 옐럭,7,36719,1252,4,119.0,2901,2020-09-09,07:00:12,83700.0
62,2021-01-30T13:30:11Z,"[playlist] 구독자분들의 추천 팝송모음 #4｜우럭 양식장, VENTI 🐟",#yeLocDirAe 옐럭,4,33822,788,4,166.0,3637,2021-01-30,13:30:11,83700.0
63,2020-12-23T04:30:05Z,[playlist] 감성알앤비 듣고 싶은 사람 쨔람?｜𝐊𝐑&𝐁/𝐒𝐨𝐮𝐥🇰🇷,#yeLocDirAe 옐럭,5,30836,845,5,112.0,4124,2020-12-23,04:30:05,83700.0
64,2021-01-09T13:30:12Z,[playlist] 입문하기 좋은 외힙모음,#yeLocDirAe 옐럭,5,30319,690,3,110.0,3733,2021-01-09,13:30:12,83700.0
65,2020-12-25T13:30:12Z,[playlist] 솔크세요..? ㅋㅋ.. 네 저두요..,#yeLocDirAe 옐럭,5,29143,801,8,169.0,4733,2020-12-25,13:30:12,83700.0
66,2021-02-27T13:30:17Z,[playlist] 생각했던 것 보다 트렌디한 라틴팝 모음,#yeLocDirAe 옐럭,6,28444,756,4,144.0,4836,2021-02-27,13:30:17,83700.0
67,2020-10-17T09:30:01Z,[playlist] 90년대생 모여라 그때 그 시절 EDM모음｜라떼 프로젝트 ☕,#yeLocDirAe 옐럭,8,27976,498,4,146.0,6292,2020-10-17,09:30:01,83700.0
68,2021-03-06T04:15:15Z,[playlist] 귓가에서 계속 맴도는 치명적인 재질,#yeLocDirAe 옐럭,6,22281,714,6,129.0,3998,2021-03-06,04:15:15,83700.0
69,2020-08-05T11:40:40Z,[playlist] 이별은 많은 감정을 남기고 떠나간다,#yeLocDirAe 옐럭,5,21668,621,3,45.0,2349,2020-08-05,11:40:40,83700.0
70,2020-12-30T03:30:07Z,[playlist] 올해의 마지막 플리｜𝐊𝐑&𝐁/𝐈𝐧𝐝𝐢𝐞🇰🇷,#yeLocDirAe 옐럭,4,19797,525,2,141.0,3941,2020-12-30,03:30:07,83700.0
71,2021-02-06T13:30:13Z,[playlist] 𝙃𝙞𝙥 𝙖𝙣𝙙 𝙂𝙧𝙤𝙤𝙫𝙚,#yeLocDirAe 옐럭,5,17874,467,4,72.0,3735,2021-02-06,13:30:13,83700.0
72,2020-05-29T03:43:35Z,[playlist] 잔잔한데 안 잔잔한 잔안잔 팝송모음,#yeLocDirAe 옐럭,5,13232,324,3,27.0,1329,2020-05-29,03:43:35,83700.0
73,2020-12-24T09:00:08Z,[playlist] 겨울재질 (Feat. X-mas)｜𝐊𝐑&𝐁/𝐈𝐧𝐝𝐢𝐞🇰🇷,#yeLocDirAe 옐럭,5,13041,356,3,87.0,4261,2020-12-24,09:00:08,83700.0
74,2020-12-02T10:45:02Z,"우리 고3이들, N수생들 고생했어요. 잘 갔다 와요!",#yeLocDirAe 옐럭,6,11356,411,2,143.0,793,2020-12-02,10:45:02,83700.0
75,2020-08-19T14:45:00Z,"[playlist] R.I.P Nujabes, 재즈힙합 모음",#yeLocDirAe 옐럭,5,10464,457,0,56.0,2024,2020-08-19,14:45:00,83700.0
